start,end,length
2294,448,84.7
448,27,169.411
449,43691,26.71
43691,449,26.71
449,53585,162.289
53585,449,162.289
449,448,81.477
450,47600,19.839
47600,450,19.839
450,1774,267.409
1774,450,267.409
450,53592,78.55
451,43693,19.957
43693,451,19.957
451,553,268.054
553,451,268.054
451,450,79.766
452,43694,20.81
43694,452,20.81
452,53589,165.74299999999997
452,53334,223.999
53334,452,223.999
453,2128,180.118
453,43696,78.307
454,47268,492.433
454,453,80.52000000000001
455,2129,193.688
455,454,78.77799999999999
456,43700,18.629
456,455,79.393
457,2130,185.27200000000002
457,456,79.231
458,43702,18.918
458,457,80.138
459,2131,145.164
459,458,78.643
460,43704,18.071
460,459,78.30199999999999
461,43705,19.594
43705,461,19.594
461,1223,135.98000000000002
1223,461,135.98000000000002
461,460,86.745
462,43706,19.91
462,461,84.543
463,2134,119.427
463,462,79.531
464,43708,19.682
464,463,79.23
465,1234,132.845
465,464,79.843
466,43710,18.616
466,465,78.635
467,466,78.596
467,2115,161.633
468,43712,20.144
468,467,79.849
469,468,79.792
469,2117,272.554
470,43714,18.418
43714,470,18.418
470,469,163.926
471,43715,18.234
471,470,85.773
472,2923,39.542
472,43961,53.55
473,43717,18.121
473,472,79.441
473,47503,86.071
47503,473,86.071
474,43719,18.311
474,166,79.182
475,168,106.25500000000001
475,474,78.851
476,43721,18.302
476,475,80.29299999999999
477,170,140.606
477,476,75.41699999999999
478,43723,18.307
478,477,82.31
479,43724,18.306
43724,479,18.306
479,478,95.72000000000001
480,43725,18.307
43725,480,18.307
480,479,87.28800000000001
481,43726,17.439
43726,481,17.439
481,54496,69.697
482,47497,11.365
482,47599,17.48
483,47498,40.871
47498,483,40.871
483,175,229.26899999999998
483,484,86.54999999999998
484,483,86.54999999999998
484,176,189.464
484,485,80.96499999999999
485,484,80.96499999999999
485,1078,100.50999999999999
485,486,84.106
486,485,84.106
486,178,159.138
486,487,84.13799999999999
487,486,84.13799999999999
487,2816,38.164
487,488,89.62700000000001
488,487,89.62700000000001
488,489,82.688
489,488,82.688
488,180,140.059
489,490,69.184
490,489,69.184
490,182,129.163
490,491,18.767
491,490,18.767
491,492,80.744
492,491,80.744
492,2818,121.956
492,493,80.599
493,492,80.599
493,41447,164.757
494,495,70.994
495,494,70.994
494,2374,73.854
2374,494,73.854
494,2375,84.47
2375,494,84.47
495,496,78.85499999999999
496,495,78.85499999999999
496,1772,94.724
1772,496,94.724
496,497,74.03399999999999
497,496,74.03399999999999
497,3035,85.011
3035,497,85.011
497,2821,105.485
2821,497,105.485
497,498,80.086
498,497,80.086
498,2822,116.39099999999999
498,499,56.037
499,498,56.037
499,2519,84.929
2519,499,84.929
499,500,114.12400000000001
500,499,114.12400000000001
500,1489,86.886
1489,500,86.886
500,501,135.039
501,500,135.039
501,2876,84.927
501,502,138.053
502,501,138.053
502,3036,83.41499999999999
3036,502,83.41499999999999
502,503,26.086
503,502,26.086
503,3002,106.97800000000001
3002,503,106.97800000000001
504,54684,95.214
54684,504,95.214
505,2327,180.48499999999999
2327,505,180.48499999999999
506,837,160.66699999999997
506,507,169.65699999999998
507,506,169.65699999999998
506,46012,91.91999999999999
46012,506,91.91999999999999
507,837,130.555
507,508,81.518
508,507,81.518
508,43981,33.574
43981,508,33.574
509,2090,97.948
509,510,129.885
510,509,129.885
509,43981,52.568
43981,509,52.568
510,1997,141.231
510,511,80.693
511,510,80.693
511,1741,119.899
1741,511,119.899
511,512,176.37900000000002
512,511,176.37900000000002
511,2505,98.417
2505,511,98.417
512,1742,117.704
1742,512,117.704
512,2985,99.064
2985,512,99.064
513,848,117.052
848,513,117.052
513,847,98.618
847,513,98.618
513,514,131.2
514,513,131.2
514,2986,108.988
2986,514,108.988
514,50738,22.924999999999997
50738,514,22.924999999999997
514,1743,104.245
1743,514,104.245
515,2812,190.88400000000001
515,516,92.843
516,515,92.843
515,50738,85.6
50738,515,85.6
516,517,86.43299999999999
517,516,86.43299999999999
517,629,101.754
517,518,96.467
518,517,96.467
518,3051,66.14699999999999
3051,518,66.14699999999999
518,519,85.92399999999999
519,518,85.92399999999999
519,45750,54.246
45750,519,54.246
519,2594,42.403
2594,519,42.403
520,228,81.48299999999999
521,45742,11.51
45742,521,11.51
521,45571,186.323
522,2796,86.68299999999999
523,44144,144.94599999999997
44144,523,144.94599999999997
523,2570,85.66300000000001
524,44144,17.31
44144,524,17.31
524,525,147.66
525,524,147.66
525,526,154.927
526,525,154.927
525,2676,87.31200000000001
526,527,215.617
527,526,215.617
526,2861,85.05799999999999
527,528,228.24599999999998
528,527,228.24599999999998
527,2266,87.47999999999999
528,3034,84.498
529,2907,85.67999999999999
2907,529,85.67999999999999
529,2906,87.606
2906,529,87.606
530,191,49.665
531,52555,87.269
532,533,310.553
532,1859,81.265
533,534,273.11199999999997
533,679,87.862
534,535,211.924
534,1860,80.7
535,971,77.073
535,970,74.912
970,535,74.912
536,971,37.843999999999994
537,52494,68.153
52494,537,68.153
537,1523,129.925
538,1523,69.152
538,537,139.035
539,3037,88.801
3037,539,88.801
539,832,81.753
832,539,81.753
540,833,84.398
541,542,139.25
541,2208,80.47
2208,541,80.47
541,2207,79.751
2207,541,79.751
542,543,134.05700000000002
542,3052,82.601
3052,542,82.601
542,3077,80.678
3077,542,80.678
543,544,116.679
543,1079,82.683
1079,543,82.683
543,1078,80.776
1078,543,80.776
544,486,12.31
544,2816,82.382
545,2830,104.911
546,547,25.882
546,45128,52.162
547,48395,56.30799999999999
548,1163,142.302
549,2590,155.69199999999998
2590,549,155.69199999999998
549,1775,82.023
550,549,302.279
550,1187,77.938
